title,onAir,img,comment,comment_count
キャロル＆チューズデイ,最速放送日  2019年4月10日(水)25:05～(フジテレビ),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_009.jpg,コメントなし,0
進撃の巨人 Season 3 Part.2,最速放送日  2019年4月28日(日)24:10～ ※関西地方は24時45分～(NHK総合),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_010.jpg,コメントなし,0
鬼滅の刃,最速放送日  2019年4月6日(土)23:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_002.jpg,コメントなし,0
八十亀ちゃんかんさつにっき,最速放送日  2019年4月4日(木)19:53～(テレビ愛知),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_012.jpg,コメントなし,0
群青のマグメル,最速放送日  2019年4月7日(日)22:00～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_011.jpg,コメントなし,0
BAKUMATSUクライシス,最速放送日  2019年4月4日(木)25:58～(TBS),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_053.jpg,コメントなし,0
ストライクウィッチーズ 501部隊発進しますっ！,最速放送日  2019年4月9日(火)24:45～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_017.jpg,コメントなし,0
異世界かるてっと,最速放送日  2019年4月9日(火)24:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_048.jpg,コメントなし,0
7SEEDS,最速放送日  2019年6月～（Netflix）,https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_015.jpg,コメントなし,0
けだまのゴンじろー,最速放送日  2019年春～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_036.jpg,コメントなし,0
妖怪ウォッチ！(2019新シリーズ),最速放送日  2019年4月5日(金)18:25～(テレビ東京),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_037.jpg,コメントなし,0
文豪ストレイドッグス(第3シーズン),最速放送日  2019年4月12日(金)22:30～(TOKYO MX),https://akiba-souken.k-img.com/assets/images/anime/animeSchedule/19/sp_023.jpg,コメントなし,0
